274,do,0.641999959946
274,up,1.33500003815
274,do,3.4470000267
274,up,3.80999994278
274,do,7.70399999619
274,up,8.00099992752
276,do,11.5429999828
276,up,11.7720000744
275,do,13.9170000553
275,up,14.1809999943
276,do,15.1710000038
276,up,16.5659999847
276,do,21.2109999657
276,up,21.5410001278
276,do,21.739000082
276,up,22.4319999218
274,do,22.5970001221
274,up,26.4620001316
276,do,26.5280001163
276,up,28.3800001144
276,do,29.0710000992
276,up,29.4330000877
276,do,30.0629999638
276,up,30.5239999294
276,do,36.8930001259
276,up,37.2260000706
275,do,37.5850000381
275,up,37.8489999771
276,do,38.7400000095
276,up,38.9709999561
275,do,39.3010001183
275,up,39.4990000725
276,do,39.993999958
276,up,40.1919999123
276,do,40.489000082
276,up,40.8849999905
276,do,41.1519999504
276,up,41.4809999466
274,do,41.6459999084
274,up,41.9760000706
273,do,42.2400000095
273,up,43.2300000191
276,do,43.3619999886
276,up,43.9909999371
273,do,44.1540000439
273,up,44.5190000534
273,do,45.6419999599
273,up,45.8740000725
